department,courseNumber,courseTitle,instructorName,instructorGPA,instructorRating,instructorDifficulty,instructorLastTaught,sections,scrapedAt
MATH,1140,Course 1140,Kristina Cernekova,3.62,4.00,2.00,Fall 2025,3,2025-08-16T17:04:02.419Z
MATH,1150,Course 1150,Kyong Choi,3.87,3.00,1.00,Fall 2025,1,2025-08-16T17:04:08.933Z
MATH,1190,Course 1190,To Announced,—,—,—,Fall 2025,6,2025-08-16T17:04:15.364Z
MATH,1210,Course 1210,To Announced,—,2.11,3.33,Fall 2025,22,2025-08-16T17:04:21.589Z
MATH,1220,Course 1220,To Announced,—,—,—,Fall 2025,6,2025-08-16T17:04:28.707Z
MATH,1310,Course 1310,To Announced,—,1.75,3.83,Fall 2025,27,2025-08-16T17:04:35.456Z
MATH,1320,Course 1320,To Announced,—,2.00,4.00,Fall 2025,18,2025-08-16T17:04:42.203Z
MATH,2310,Course 2310,Evangelos Dimou,3.23,4.33,3.00,Fall 2025,1,2025-08-16T17:04:48.599Z
MATH,2310,Course 2310,Daniel James,—,—,—,Fall 2025,2,2025-08-16T17:04:48.599Z
MATH,2310,Course 2310,Jacob Campbell,—,—,—,Fall 2025,2,2025-08-16T17:04:48.599Z
MATH,2310,Course 2310,To Announced,—,—,—,Fall 2025,5,2025-08-16T17:04:48.599Z
MATH,2315,Course 2315,Benjamin Hayes,—,—,—,Fall 2025,1,2025-08-16T17:04:55.328Z
MATH,2315,Course 2315,To Announced,—,—,—,Fall 2025,1,2025-08-16T17:04:55.328Z
MATH,3000,Course 3000,J.D. Quigley,—,—,—,Fall 2025,1,2025-08-16T17:05:01.488Z
MATH,3000,Course 3000,To Announced,—,—,—,Fall 2025,1,2025-08-16T17:05:01.488Z
MATH,3100,Course 3100,Abdelmalek Abdesselam,3.18,3.44,3.00,Fall 2025,2,2025-08-16T17:05:07.855Z
MATH,3100,Course 3100,Evangelos Dimou,—,—,—,Fall 2025,1,2025-08-16T17:05:07.855Z
MATH,3250,Course 3250,Brandon Shapiro,—,4.00,5.00,Fall 2025,2,2025-08-16T17:05:14.297Z
MATH,3250,Course 3250,To Announced,—,—,—,Fall 2025,3,2025-08-16T17:05:14.297Z
MATH,3250,Course 3250,John Imbrie,3.50,—,—,Fall 2025,1,2025-08-16T17:05:14.297Z
MATH,3310,Course 3310,Yen Do,3.54,—,—,Fall 2025,1,2025-08-16T17:05:20.536Z
MATH,3310,Course 3310,Thomas Mark,3.30,3.67,5.00,Fall 2025,1,2025-08-16T17:05:20.536Z
MATH,3310,Course 3310,To Announced,—,—,—,Fall 2025,2,2025-08-16T17:05:20.536Z
MATH,3340,Course 3340,Andrei Rapinchuk,3.57,—,—,Fall 2025,1,2025-08-16T17:05:27.240Z
MATH,3350,Course 3350,Jeffrey Holt,3.44,4.43,2.50,Fall 2025,2,2025-08-16T17:05:33.556Z
MATH,3351,Course 3351,Tai Melcher,—,—,—,Fall 2025,1,2025-08-16T17:05:39.710Z
MATH,3351,Course 3351,Sarah Blackwell,—,—,—,Fall 2025,1,2025-08-16T17:05:39.710Z
MATH,3354,Course 3354,Evangelia Gazaki,3.48,4.33,5.00,Fall 2025,1,2025-08-16T17:05:45.886Z
MATH,3354,Course 3354,Oliver Wang,—,—,—,Fall 2025,1,2025-08-16T17:05:45.886Z
MATH,4040,Course 4040,Peter Abramenko,3.11,4.17,3.50,Fall 2025,1,2025-08-16T17:05:52.364Z
MATH,4110,Course 4110,Tai Melcher,3.17,3.75,4.00,Fall 2025,1,2025-08-16T17:05:58.167Z
MATH,4140,Course 4140,Christian Gromoll,—,—,—,Fall 2025,1,2025-08-16T17:06:04.778Z
MATH,4220,Course 4220,Peter Humphries,—,—,—,Fall 2025,1,2025-08-16T17:06:11.173Z
MATH,4310,Course 4310,Mikhail Ershov,3.53,5.00,4.00,Fall 2025,1,2025-08-16T17:06:17.793Z
MATH,4559,Course 4559,Christian Reidys,—,—,—,Fall 2025,1,2025-08-16T17:06:24.235Z
MATH,4651,Course 4651,Ryan Stees,—,—,—,Fall 2025,1,2025-08-16T17:06:30.781Z
MATH,4720,Course 4720,Slava Krushkal,—,—,—,Fall 2025,1,2025-08-16T17:06:37.284Z
MATH,4770,Course 4770,Thomas Koberda,—,—,—,Fall 2025,1,2025-08-16T17:06:43.689Z
MATH,4900,Course 4900,To Announced,—,—,—,Fall 2025,6,2025-08-16T17:06:50.196Z
MATH,4993,Course 4993,Peter Humphries,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Ken Ono,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Thomas Mark,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Benjamin Hayes,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Thomas Koberda,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,You Qi,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,J.D. Quigley,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Sara Maloni,3.98,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Juraj Foldes,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Evangelia Gazaki,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,4993,Course 4993,Daniel James,—,—,—,Fall 2025,1,2025-08-16T17:06:56.702Z
MATH,5653,Course 5653,To Announced,—,—,—,Fall 2025,1,2025-08-16T17:07:02.996Z
